"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.527538000E-2,2.536391914E-1,4.307080805E-2,9.870991707E0,9.874343786E0
3.764012000E-2,2.922234535E-1,4.067798331E-2,9.844670296E0,9.849090439E0
4.000485900E-2,2.703889608E-1,9.571290575E-3,9.971489906E0,9.975159786E0
4.236954700E-2,2.826521695E-1,1.674975827E-2,9.997811317E0,1.000182003E1
4.473428600E-2,3.233301640E-1,1.196411345E-2,9.882955551E0,9.888250399E0
4.709902600E-2,3.161516786E-1,2.871387079E-2,9.801301003E0,9.806440624E0
4.946371300E-2,2.751746178E-1,2.632104978E-2,9.892526627E0,9.896388075E0
5.182845300E-2,2.225325108E-1,1.914258115E-2,1.006480980E1,1.006728779E1
5.419314000E-2,2.033899277E-1,2.392822690E-2,1.011505985E1,1.011713279E1
5.655788000E-2,2.392822653E-1,1.914258115E-2,1.000977516E1,1.001265306E1
5.892256800E-2,2.874378264E-1,1.196411345E-2,9.878170013E0,9.882358345E0
6.128730700E-2,3.017947674E-1,3.110669367E-2,9.887741089E0,9.892394632E0
6.365204700E-2,2.994019389E-1,1.914258115E-2,9.947562218E0,9.952085311E0
6.601673400E-2,2.898306549E-1,1.914258115E-2,9.952347755E0,9.956585463E0
6.838147400E-2,2.727817893E-1,2.392822690E-2,9.892526627E0,9.896315755E0
7.074616100E-2,2.656033039E-1,9.571290575E-3,9.875777245E0,9.879352859E0
7.311090100E-2,2.392822653E-1,3.110669367E-2,9.947562218E0,9.950488315E0
7.547564000E-2,2.297109663E-1,2.153540403E-2,1.000977516E1,1.001243375E1
7.784032800E-2,2.440679073E-1,2.632104978E-2,1.000977516E1,1.001278486E1
8.020506800E-2,2.751746178E-1,2.871387079E-2,9.945169449E0,9.949017083E0
8.256980700E-2,3.017947674E-1,2.392822690E-2,9.911669731E0,9.916292125E0
8.493449500E-2,2.799602449E-1,3.110669367E-2,9.921240807E0,9.925238763E0
8.729923400E-2,2.874378264E-1,3.110669367E-2,9.949954987E0,9.954154528E0
8.966392200E-2,2.727817893E-1,3.349951655E-2,9.947562218E0,9.951358008E0
9.202866100E-2,2.703889608E-1,2.871387079E-2,9.940383911E0,9.944102120E0
9.439340100E-2,2.799602449E-1,3.828516230E-2,9.928419113E0,9.932439256E0
9.675808800E-2,2.536391914E-1,4.785645381E-2,9.928419113E0,9.931773717E0
9.912282800E-2,2.560320199E-1,5.503492057E-2,9.921240807E0,9.924696488E0
1.014875150E-1,2.584248483E-1,5.742774159E-2,9.914062500E0,9.917596312E0
1.038522550E-1,2.775674164E-1,2.392822690E-2,9.897313118E0,9.901233417E0
1.062169950E-1,2.850449979E-1,1.196411345E-2,9.878170013E0,9.882289037E0
1.085816820E-1,2.775674164E-1,2.153540403E-2,9.911669731E0,9.915578869E0
1.109464220E-1,2.632105052E-1,7.178467698E-3,9.947562218E0,9.951046446E0
1.133111090E-1,2.656033039E-1,1.914258115E-2,9.952347755E0,9.955909672E0
1.156758490E-1,2.850449979E-1,2.632104978E-2,9.945169449E0,9.949288357E0
1.180405880E-1,2.826521695E-1,3.589234129E-2,9.926026344E0,9.930114778E0
1.204052760E-1,2.994019389E-1,9.571290575E-3,9.933204651E0,9.937720451E0
1.227700150E-1,2.826521695E-1,1.196411345E-2,9.952347755E0,9.956367874E0
1.251347030E-1,2.850449979E-1,2.871387079E-2,9.940383911E0,9.944511423E0
1.274994430E-1,2.799602449E-1,3.349951655E-2,9.921240807E0,9.925246551E0
1.298641820E-1,2.751746178E-1,2.153540403E-2,9.897313118E0,9.901161134E0
1.322288700E-1,2.799602449E-1,2.392822690E-2,9.906884193E0,9.910868010E0
1.345936090E-1,2.775674164E-1,2.153540403E-2,9.906884193E0,9.910795219E0
1.369582970E-1,2.775674164E-1,2.392822690E-2,9.914062500E0,9.917976179E0
1.393230360E-1,2.751746178E-1,2.392822690E-2,9.921240807E0,9.925085026E0
1.416877760E-1,2.850449979E-1,2.392822690E-2,9.914062500E0,9.918188265E0
1.440524630E-1,2.775674164E-1,2.871387079E-2,9.918848038E0,9.922772523E0
1.464172030E-1,2.826521695E-1,3.589234129E-2,9.928419113E0,9.932506562E0
1.487818900E-1,2.826521695E-1,2.632104978E-2,9.940383911E0,9.944436502E0
1.511466300E-1,2.970091105E-1,1.435693540E-2,9.937990189E0,9.942437806E0
1.535113700E-1,2.751746178E-1,2.153540403E-2,9.933204651E0,9.937038768E0
1.558760570E-1,2.727817893E-1,2.632104978E-2,9.926026344E0,9.929808744E0
1.582407970E-1,2.727817893E-1,1.914258115E-2,9.942776680E0,9.946536304E0
1.606054840E-1,2.727817893E-1,3.828516230E-2,9.940383911E0,9.944199714E0
1.629702240E-1,2.775674164E-1,4.546362907E-2,9.923633575E0,9.927618745E0
1.653349630E-1,2.727817893E-1,3.589234129E-2,9.921240807E0,9.925055028E0
1.676996510E-1,2.679961324E-1,2.153540403E-2,9.940383911E0,9.944019208E0
1.700643900E-1,2.584248483E-1,4.067798331E-2,9.949954987E0,9.953393509E0
1.724290780E-1,2.536391914E-1,3.828516230E-2,9.937990189E0,9.941300095E0
1.747938180E-1,2.703889608E-1,1.674975827E-2,9.933204651E0,9.936898177E0
1.771585570E-1,2.826521695E-1,0.000000000E0,9.942776680E0,9.946793471E0
1.795232450E-1,2.898306549E-1,4.785645287E-3,9.949954987E0,9.954176457E0
1.818879840E-1,2.608176768E-1,1.674975827E-2,9.957133293E0,9.960562727E0
1.842526720E-1,2.751746178E-1,7.178467698E-3,9.942776680E0,9.946586385E0
1.866174110E-1,2.727817893E-1,2.392822690E-2,9.937990189E0,9.941761989E0
1.889821510E-1,2.751746178E-1,1.435693540E-2,9.935597420E0,9.939417653E0
1.913468380E-1,2.727817893E-1,1.435693540E-2,9.952347755E0,9.956095714E0
1.937115780E-1,2.608176768E-1,2.392822644E-3,9.942776680E0,9.946197248E0
1.960762650E-1,2.679961324E-1,1.914258115E-2,9.957133293E0,9.960757591E0
1.984410050E-1,2.703889608E-1,2.392822690E-2,9.937990189E0,9.941696623E0
2.008057450E-1,2.727817893E-1,1.914258115E-2,9.935597420E0,9.939359760E0
2.031704320E-1,2.584248483E-1,1.674975827E-2,9.947562218E0,9.950932521E0
2.055351720E-1,2.536391914E-1,2.153540403E-2,9.952347755E0,9.955602566E0
2.078998590E-1,2.656033039E-1,2.392822690E-2,9.933204651E0,9.936783801E0
2.102645990E-1,2.656033039E-1,2.153540403E-2,9.952347755E0,9.955914560E0
2.126293380E-1,2.632105052E-1,3.589234129E-2,9.947562218E0,9.951108587E0
2.149940260E-1,2.608176768E-1,3.589234129E-2,9.940383911E0,9.943869791E0
2.173587650E-1,2.632105052E-1,3.589234129E-2,9.933204651E0,9.936756144E0
2.197234530E-1,2.727817893E-1,1.914258115E-2,9.921240807E0,9.925008589E0
2.220881930E-1,2.727817893E-1,1.196411345E-2,9.930811882E0,9.934564796E0
2.244529320E-1,2.703889608E-1,3.589234129E-2,9.947562218E0,9.951301047E0
2.268176200E-1,2.751746178E-1,3.349951655E-2,9.954740524E0,9.958599409E0
2.291823590E-1,2.679961324E-1,2.392822690E-2,9.937990189E0,9.941631832E0
2.315470990E-1,2.656033039E-1,2.153540403E-2,9.930811882E0,9.934386419E0
2.339117860E-1,2.656033039E-1,2.632104978E-2,9.937990189E0,9.941573663E0
2.362765260E-1,2.536391914E-1,2.632104978E-2,9.947562218E0,9.950830102E0
2.386412130E-1,2.584248483E-1,1.196411345E-2,9.935597420E0,9.938964867E0
2.410059530E-1,2.512463629E-1,9.571290575E-3,9.918848038E0,9.922034204E0
2.433706930E-1,2.608176768E-1,3.110669367E-2,9.930811882E0,9.934284983E0
2.457353800E-1,2.679961324E-1,2.871387079E-2,9.935597420E0,9.939252613E0
2.481001200E-1,2.751746178E-1,1.674975827E-2,9.959526062E0,9.963340856E0
2.504648070E-1,2.679961324E-1,1.674975827E-2,9.947562218E0,9.951185686E0
2.528295470E-1,2.656033039E-1,2.392822690E-2,9.940383911E0,9.943960477E0
2.551942860E-1,2.679961324E-1,1.674975827E-2,9.945169449E0,9.948793789E0
2.575589740E-1,2.536391914E-1,2.632104978E-2,9.940383911E0,9.943654154E0
2.599237130E-1,2.512463629E-1,3.589234129E-2,9.930811882E0,9.934054441E0
2.622884010E-1,2.608176768E-1,3.110669367E-2,9.933204651E0,9.936676916E0
2.646531400E-1,2.536391914E-1,3.349951655E-2,9.935597420E0,9.938890841E0
2.670178280E-1,2.679961324E-1,3.589234129E-2,9.930811882E0,9.934492177E0
2.693825680E-1,2.656033039E-1,3.110669367E-2,9.933204651E0,9.936803680E0
2.717473070E-1,2.679961324E-1,2.632104978E-2,9.928419113E0,9.932070318E0
2.741119950E-1,2.751746178E-1,3.110669367E-2,9.914062500E0,9.917929419E0
2.764767340E-1,2.656033039E-1,3.828516230E-2,9.906884193E0,9.910517912E0
2.788414740E-1,2.512463629E-1,2.871387079E-2,9.914062500E0,9.917287153E0
2.812061610E-1,2.560320199E-1,1.914258115E-2,9.930811882E0,9.934130232E0
2.835709010E-1,2.656033039E-1,2.392822690E-2,9.945169449E0,9.948744295E0
2.859355880E-1,2.751746178E-1,2.153540403E-2,9.930811882E0,9.934646923E0
2.883003280E-1,2.850449979E-1,2.632104978E-2,9.928419113E0,9.932544968E0
2.906650150E-1,2.679961324E-1,2.153540403E-2,9.940383911E0,9.944019208E0
2.930297550E-1,2.799602449E-1,2.632104978E-2,9.947562218E0,9.951535792E0
2.953944950E-1,2.826521695E-1,3.589234129E-2,9.937990189E0,9.942073702E0
2.977591820E-1,2.850449979E-1,1.914258115E-2,9.935597420E0,9.939703878E0
3.001239220E-1,2.874378264E-1,4.785645287E-3,9.923633575E0,9.927796671E0
3.024886610E-1,2.898306549E-1,1.914258115E-2,9.933204651E0,9.937450522E0
3.048533490E-1,2.536391914E-1,7.178467698E-3,9.933204651E0,9.936444988E0
3.072180880E-1,2.584248483E-1,1.196411345E-2,9.923633575E0,9.927005081E0
3.095827760E-1,2.656033039E-1,1.914258115E-2,9.909276962E0,9.912854355E0
3.119475150E-1,2.751746178E-1,1.914258115E-2,9.906884193E0,9.910723583E0
3.143122550E-1,2.679961324E-1,3.349951655E-2,9.921240807E0,9.924916286E0
3.166769430E-1,2.826521695E-1,3.828516230E-2,9.935597420E0,9.939690845E0
3.190416820E-1,2.970091105E-1,1.435693540E-2,9.942776680E0,9.947222157E0
3.214063700E-1,2.775674164E-1,7.178467698E-3,9.945169449E0,9.949044706E0
3.237711090E-1,2.727817893E-1,2.392822690E-2,9.949954987E0,9.953722253E0
3.261357970E-1,2.775674164E-1,3.110669367E-2,9.954740524E0,9.958658052E0
3.285005360E-1,2.751746178E-1,3.349951655E-2,9.959526062E0,9.963383093E0
3.308652760E-1,2.799602449E-1,3.110669367E-2,9.947562218E0,9.951549600E0
3.332299630E-1,2.922234535E-1,3.110669367E-2,9.933204651E0,9.937550846E0
3.355947030E-1,2.898306549E-1,2.392822690E-2,9.926026344E0,9.930285663E0
3.379594430E-1,2.679961324E-1,2.392822690E-2,9.921240807E0,9.924888595E0
3.403241300E-1,2.751746178E-1,2.153540403E-2,9.928419113E0,9.932255078E0
3.426888700E-1,2.826521695E-1,7.178467698E-3,9.937990189E0,9.942011505E0
3.450535570E-1,2.799602449E-1,1.674975827E-2,9.933204651E0,9.937163223E0
3.474182970E-1,2.874378264E-1,1.435693540E-2,9.921240807E0,9.925414136E0
3.497830360E-1,2.727817893E-1,2.153540403E-2,9.930811882E0,9.934580933E0
3.521477240E-1,2.946162820E-1,1.435693540E-2,9.959526062E0,9.963893027E0
3.545124630E-1,2.898306549E-1,1.435693540E-2,9.966704369E0,9.970927936E0
3.568771510E-1,2.922234535E-1,1.914258115E-2,9.961918831E0,9.966222342E0
3.592418900E-1,2.850449979E-1,0.000000000E0,9.952347755E0,9.956428903E0
3.616066300E-1,2.775674164E-1,-2.153540403E-2,9.954740524E0,9.958632755E0
3.639713180E-1,2.994019389E-1,2.392822644E-3,9.961918831E0,9.966417312E0
3.663360570E-1,2.970091105E-1,2.153540403E-2,9.945169449E0,9.949626805E0
3.687007450E-1,2.874378264E-1,3.110669367E-2,9.935597420E0,9.939803027E0
3.710654840E-1,2.922234535E-1,2.632104978E-2,9.930811882E0,9.935145292E0
3.734302240E-1,2.679961324E-1,1.914258115E-2,9.937990189E0,9.941621465E0
3.757949110E-1,2.775674164E-1,2.871387079E-2,9.923633575E0,9.927556169E0
3.781596510E-1,2.799602449E-1,2.153540403E-2,9.928419113E0,9.932388816E0
3.805243380E-1,2.799602449E-1,7.178467698E-3,9.937990189E0,9.941935338E0
3.828890780E-1,2.703889608E-1,7.178467698E-3,9.940383911E0,9.944063255E0
3.852538180E-1,2.751746178E-1,2.153540403E-2,9.933204651E0,9.937038768E0
3.876185050E-1,2.850449979E-1,3.110669367E-2,9.947562218E0,9.951693944E0
3.899832450E-1,2.775674164E-1,3.828516230E-2,9.949954987E0,9.953899420E0
3.923479320E-1,2.799602449E-1,2.632104978E-2,9.959526062E0,9.963494865E0
3.947126720E-1,2.874378264E-1,1.674975827E-2,9.957133293E0,9.961295321E0
3.970773590E-1,2.850449979E-1,9.571290575E-3,9.949954987E0,9.954041717E0
